country,year,patents,berd_biotech,reg_quality,eu,log_patents,log_berd,eu_x_logpatents
BEL,2011,132.0372924804688,1302.628797969791,1.0640569,1,4.883084401476882,7.17213965393624,4.883084401476882
BEL,2013,129.2785949707031,2264.6648648921814,1.1209955,1,4.861969726603448,7.7251820644495925,4.861969726603448
BEL,2015,128.0095062255859,2405.153890166126,1.1764063,1,4.852104528549321,7.785369168087805,4.852104528549321
BEL,2017,146.8500061035156,3460.7514385733452,1.2707575,1,4.989411699207554,8.149241023250296,4.989411699207554
BEL,2019,171.9107055664063,4686.263955375996,1.2890183,1,5.146975188322836,8.452390945986684,5.146975188322836
DEU,2006,776.9223022460938,1145.0922821261333,1.5062382,1,6.655340348258329,7.0432405084840255,6.655340348258329
DEU,2007,727.9069213867188,1251.12994089104,1.5280349,1,6.590173184784485,7.131802374689975,6.590173184784485
DEU,2008,767.4071044921875,1293.270227028225,1.3519451,1,6.643017435643581,7.164929349223889,6.643017435643581
DEU,2009,709.5850830078125,1296.1178496710154,1.4048295,1,6.564680409083053,7.1671288061661595,6.564680409083053
DEU,2010,674.5142822265625,1269.3653222421137,1.4217684,1,6.513992849962643,7.146272308271801,6.513992849962643
DEU,2011,663.659423828125,1242.489332652209,1.472517,1,6.497769101968567,7.124872172543353,6.497769101968567
DEU,2012,588.1251831054688,1181.3339975868548,1.5033775,1,6.376939821677269,7.0743995853480595,6.376939821677269
DEU,2013,588.8309936523438,1162.6638876967243,1.4776207,1,6.378139204705156,7.058469106188802,6.378139204705156
DEU,2014,639.8182983398438,1239.2713232288377,1.5568299,1,6.461184227199978,7.122278843312134,6.461184227199978
DEU,2015,651.8344116210938,1345.6106869663563,1.6412186,1,6.479790559764537,7.204603231344068,6.479790559764537
DEU,2016,618.5731201171875,1413.950352347134,1.6895096,1,6.427415406538017,7.254142734345848,6.427415406538017
DEU,2017,685.4132080078125,1433.3529778828822,1.6946666,1,6.530021879765211,7.26777171841931,6.530021879765211
DEU,2018,651.367919921875,1572.2870058412127,1.6795515,1,6.479074643735457,7.3602865300149425,6.479074643735457
DEU,2019,670.111083984375,1194.7,1.6651379,1,6.507443495633814,7.085650386823178,6.507443495633814
DEU,2020,525.0582885742188,2870.5332383209766,1.5622145,1,6.263509282284365,7.962253088819864,6.263509282284365
DNK,2007,170.9806976318359,492.4877342992763,2.1560402,1,5.1415506707853185,6.199469555325921,5.1415506707853185
DNK,2009,145.6264953613281,463.66551329867093,2.0312873,1,4.981045092842887,6.139163415758359,4.981045092842887
DNK,2011,163.2266998291016,940.2702628492318,1.9897696,1,5.095140031042681,6.846167347609311,5.095140031042681
DNK,2013,178.7429046630859,1111.784035420585,1.8256852,1,5.185948486593755,7.013721243197517,5.185948486593755
DNK,2017,202.9167022705078,1682.1741680622447,1.7913698,1,5.312795561189082,7.427842383366111,5.312795561189082
DNK,2019,196.75,1466.2006779,1.9335346,1,5.281933887297512,7.290429761141037,5.281933887297512
FIN,2007,51.20830154418945,115.62553203934402,1.7544417,1,3.935901658437219,4.750356797243357,3.935901658437219
FIN,2011,53.59700012207031,111.33311408391826,1.9132285,1,3.981493098638674,4.712526735000528,3.981493098638674
FIN,2015,45.0,72.14745920860115,1.8686997,1,3.8066624897703196,4.2787120691958,3.8066624897703196
FRA,2008,478.9544067382813,2626.605262521451,1.3061458,1,6.171605408618145,7.873447516697918,6.171605408618145
FRA,2009,537.4066162109375,2911.6280170080663,1.1753528,1,6.286755007625771,7.976467659744882,6.286755007625771
FRA,2010,470.0929870605469,2937.1283205291484,1.2341536,1,6.152930519945075,7.985187621265355,6.152930519945075
FRA,2011,483.2027893066406,3081.1473836164632,1.108929,1,6.180436419175634,8.033057333744813,6.180436419175634
FRA,2012,470.1152038574219,3434.171318841037,1.1365688,1,6.15297777925869,8.141530929217385,6.15297777925869
FRA,2013,466.6094970703125,3660.4206304691365,1.1440293,1,6.145492713152832,8.20533334614957,6.145492713152832
FRA,2014,511.5282897949219,2912.4721485415157,1.0322133,1,6.23740289137923,7.976757535095706,6.23740289137923
FRA,2015,482.7286071777344,3023.4001414676763,1.1137263,1,6.179454605832113,8.014137351705529,6.179454605832113
FRA,2016,460.7000122070313,3660.323902187967,1.1025649,1,6.132747098438575,8.205306920345272,6.132747098438575
FRA,2017,499.6749877929688,3839.997784634239,1.2328687,1,6.2139578626506635,8.253227068663438,6.2139578626506635
FRA,2018,441.1119995117188,3941.7729060112915,1.2678981,1,6.089298810349404,8.279385877228071,6.089298810349404
FRA,2019,483.5047912597656,3929.334505626158,1.4571643,1,6.181061224378408,8.27622535353338,6.181061224378408
FRA,2020,362.6917114257813,3954.277403780532,1.2588514,1,5.893553193603642,8.282553159028987,5.893553193603642
ITA,2008,168.0139007568359,533.2436847640344,0.8886584,1,5.124046718580493,6.27897851436344,5.124046718580493
ITA,2009,174.1844024658203,553.6083369293976,0.7953389,1,5.160114522325934,6.316457463672361,5.160114522325934
ITA,2010,156.7322998046875,557.7185200246744,0.7462046,1,5.054539253230797,6.323854390706206,5.054539253230797
ITA,2011,120.3408966064453,574.1498133299374,0.4856351,1,4.790328520374765,6.3528903610979395,4.790328520374765
ITA,2012,137.5417022705078,586.5744008582827,0.4822093,1,4.923927160363799,6.374299515731375,4.923927160363799
ITA,2013,108.5634994506836,598.807002573054,0.4880841,1,4.68733525018286,6.394939346820872,4.68733525018286
ITA,2014,115.1859970092773,599.543819211578,0.3783433,1,4.746548187134624,6.396169064726482,4.746548187134624
ITA,2015,127.151496887207,626.835031114783,0.5869675,1,4.845379264407617,6.4406833977439835,4.845379264407617
ITA,2016,140.0332946777344,673.603402615961,0.6337422,1,4.941880213461493,6.51264151430485,4.941880213461493
ITA,2017,151.2082977294922,748.216176713251,0.6356778,1,5.018658341402935,6.617691942521339,5.018658341402935
ITA,2018,157.6667022705078,800.246799924991,0.5602677,1,5.0604833256409725,6.684920179997855,5.0604833256409725
ITA,2019,172.3332977294922,851.547467470983,0.7011105,1,5.149430379241607,6.747055244257738,5.149430379241607
ITA,2020,137.6582946777344,923.532710643074,0.4717415,1,4.924774488964782,6.828206219307705,4.924774488964782
KOR,2008,380.6903991699219,928.1804735903769,0.6842496,0,5.941986444183983,6.833226189729923,0.0
KOR,2009,420.3410949707031,1062.2153191796733,0.7514494,0,6.041066512560195,6.968111930007887,0.0
KOR,2010,471.8110961914063,914.3374979675158,0.8025338,0,6.156578685542722,6.818199757090526,0.0
KOR,2011,529.6812744140625,1088.5337482027028,0.9312521,0,6.272275456621215,6.9925868845143295,0.0
KOR,2012,529.86669921875,1178.941408405923,0.9288607,0,6.272625464003976,7.072372203293936,0.0
KOR,2013,587.1666870117188,1331.282834869318,1.0180914,0,6.375308743762718,7.193898293844135,0.0
