person_name;n_brevetti;periodo;tipo_ente;paese_verificato;continente
Powerchina Huadong Engineering Corporation Limited;66;Post-2000;Azienda;CN;Asia
Airbus Operations Gmbh;66;Post-2000;Azienda;DE;Europa
Beijing Puhua Yineng Wind Power Technology Co., Ltd.;66;Post-2000;Azienda;CN;Asia
Youwinenergy Gmbh;66;Post-2000;Azienda;DE;Europa
Thyssenkrupp Rothe Erde Gmbh;66;Post-2000;Azienda;DE;Europa
Beihang University;65;Post-2000;Università;CN;Asia
Nuscale Power, Llc;65;Post-2000;Azienda;US;America
Nanjing University Of Science And Technology;65;Post-2000;Università;CN;Asia
Dongfang Electric Wind Power Co., Ltd.;65;Post-2000;Azienda;CN;Asia
PANASONIC (MATSUSHITA);65;Post-2000;Azienda;JP;Asia
Sany Heavy Energy Co., Ltd.;64;Post-2000;Azienda;CN;Asia
Shanghai University;64;Post-2000;Università;CN;Asia
FORD;63;Post-2000;Azienda;US;America
Amazon Technologies, Inc.;62;Post-2000;Azienda;US;America
Shenyang University Of Technology;62;Post-2000;Università;CN;Asia
Csic (Chongqing) Haizhuang Windpower Equipment Co., Ltd.;62;Post-2000;Azienda;CN;Asia
Northeastern University;62;Post-2000;Università;CN;Asia
Vobben Propertiz Gmbkh;62;Post-2000;Azienda;DE;Europa
Shanghai Ocean University;62;Post-2000;Università;CN;Asia
Imo Holding Gmbh;60;Post-2000;Azienda;DE;Europa
Shandong University Of Science And Technology;59;Post-2000;Università;CN;Asia
Shenyang Aerospace University;58;Post-2000;Università;CN;Asia
Nabtesco Corporation;58;Post-2000;Azienda;JP;Asia
Cc3D Llc;58;Post-2000;Azienda;US;America
Samsung Electronics Co., Ltd.;58;Post-2000;Azienda;KR;Asia
Acciona Windpower, S.A.;58;Post-2000;Azienda;ES;Europa
Miba Gleitlager Austria Gmbh;57;Post-2000;Azienda;AT;Europa
Suzlon Energy Gmbh;57;Post-2000;Azienda;DE;Europa
Continuous Composites Inc.;56;Post-2000;Azienda;US;America
Ifp Energies Nouvelles;56;Post-2000;Ente pubblico;FR;Europa
Nanjing Wind Power Technology Co., Ltd.;56;Post-2000;Azienda;CN;Asia
Nabtesco Corp;56;Post-2000;Azienda;JP;Asia
Beijing Etechwin Electrical Co., Ltd.;55;Post-2000;Azienda;CN;Asia
Gm Global Technology Operations Llc;55;Post-2000;Azienda;US;America
Lanzhou University Of Technology;55;Post-2000;Università;CN;Asia
Xuji Group Corporation;54;Post-2000;Azienda;CN;Asia
Gree Electric Appliances,Inc.Of Zhuhai;53;Post-2000;Azienda;CN;Asia
Itrec B.V.;53;Post-2000;Azienda;NL;Europa
Beijing University Of Technology;53;Post-2000;Università;CN;Asia
Shanghai Maritime University;53;Post-2000;Università;CN;Asia
Huaneng Clean Energy Research Institute;53;Post-2000;Azienda;CN;Asia
Basf Se;52;Post-2000;Azienda;DE;Europa
CATERPILLAR;52;Post-2000;Azienda;US;America
Principle Power, Inc.;52;Post-2000;Azienda;US;America
Abb Research Ltd.;51;Post-2000;Azienda;CH;Europa
Shanghai University Of Electric Power;51;Post-2000;Università;CN;Asia
Textron Innovations Inc.;51;Post-2000;Azienda;US;America
Wuxi Tongchun New Energy Technology Co., Ltd.;51;Post-2000;Azienda;CN;Asia
Jilin University;51;Post-2000;Università;CN;Asia
China National Offshore Oil Corporation;50;Post-2000;Azienda;CN;Asia
Hunan University Of Science And Technology;49;Post-2000;Università;CN;Asia
Harbin University Of Science And Technology;49;Post-2000;Università;CN;Asia
Guodian United Power Technology (Lianyungang) Co., Ltd.;49;Post-2000;Azienda;CN;Asia
Sinomatech Wind Power Blade Co., Ltd.;48;Post-2000;Azienda;CN;Asia
Zhuzhou Times New Materials Technology Co., Ltd.;48;Post-2000;Azienda;CN;Asia
Sumitomo Electric Ind Ltd;48;Post-2000;Azienda;JP;Asia
Nordex Energy Se & Co. Kg;48;Post-2000;Azienda;DE;Europa
Tokyo Electric Power Co Inc:The;48;Post-2000;Azienda;JP;Asia
Hyundai Heavy Industries Co., Ltd.;47;Post-2000;Azienda;KR;Asia
Mcalister Technologies, Llc;47;Post-2000;Azienda;US;America
Mao Yongbo;47;Post-2000;Altro;CN;Asia
Lg Electronics Inc.;47;Post-2000;Azienda;KR;Asia
Schaeffler Technologies Gmbh & Co. Kg;47;Post-2000;Azienda;DE;Europa
China Three Gorges University;46;Post-2000;Università;CN;Asia
Csr Zhuzou Electric Locomotive Research Instituteco., Ltd.;46;Post-2000;Azienda;CN;Asia
Romax Technology Limited;46;Post-2000;Azienda;GB;Europa
Yanshan University;46;Post-2000;Università;CN;Asia
Egedal, Per;45;Post-2000;Altro;DK;Europa
Enel Green Power S.P.A.;45;Post-2000;Azienda;IT;Europa
Aerodyn Engineering Gmbh;45;Post-2000;Azienda;DE;Europa
Zhuzhou Times New Material Technology Co., Ltd.;45;Post-2000;Azienda;CN;Asia
Central South University;45;Post-2000;Università;CN;Asia
Crrc Wind Power (Shandong) Co., Ltd.;45;Post-2000;Azienda;CN;Asia
Meng Yingzhi;45;Post-2000;Altro;CN;Asia
Xi'An Thermal Power Research Institute Co., Ltd.;44;Post-2000;Azienda;CN;Asia
Shenzhen Jingchuang Heavy Industry Special Engineering Co., Ltd.;44;Post-2000;Azienda;CN;Asia
Sumitomo Electric Industries, Ltd.;43;Post-2000;Azienda;JP;Asia
Areva Wind Gmbh;43;Post-2000;Azienda;DE;Europa
North China Electrical Power Research Institute Co., Ltd.;43;Post-2000;Azienda;CN;Asia
Liebherr-Components Biberach Gmbh;42;Post-2000;Azienda;DE;Europa
Liftra Ip Aps;42;Post-2000;Azienda;DK;Europa
Nies, Jacob Johannes;42;Post-2000;Altro;DE;Europa
Holcim Technology Ltd;41;Post-2000;Azienda;CH;Europa
Jtekt Corp;41;Post-2000;Azienda;JP;Asia
Ssb Wind Systems Gmbh & Co. Kg;41;Post-2000;Azienda;DE;Europa
Xiangtan Electric Manufacturing Co., Ltd.;41;Post-2000;Azienda;CN;Asia
Johns Manville;40;Post-2000;Azienda;US;America
Nanjing University Of Information Science & Technology;40;Post-2000;Università;CN;Asia
Lianyungang Zhongfu Lianzhong Composites Group Co., Ltd.;40;Post-2000;Azienda;CN;Asia
Yishui Shengrong New Energy Co., Ltd.;40;Post-2000;Azienda;CN;Asia
Anhui University Of Science & Technology;40;Post-2000;Università;CN;Asia
Changsha University Of Science & Technology;39;Post-2000;Università;CN;Asia
University Of Maine System Board Of Trustees;39;Post-2000;Università;US;America
Renk Aktiengesellschaft;39;Post-2000;Azienda;DE;Europa
Li Desheng;39;Post-2000;Altro;CN;Asia
Korea Institute Of Ocean Science & Technology;39;Post-2000;Ente pubblico;KR;Asia
Hunan Institute Of Engineering;38;Post-2000;Università;CN;Asia
China Datang Corporation Science And Technology Research Institute Co., Ltd.;38;Post-2000;Azienda;CN;Asia
Raytheon Technologies Corporation;38;Post-2000;Azienda;US;America
Jiangsu Naier Wind Power Technology Development Co., Ltd.;38;Post-2000;Azienda;CN;Asia
HONDA;37;Post-2000;Azienda;JP;Asia
Tpi Composites, Inc.;37;Post-2000;Azienda;US;America
University Of Ulsan Foundation For Industry Cooperation;37;Post-2000;Università;KR;Asia
Industrial Cooperation Foundation Chonbuk National University;37;Post-2000;Università;KR;Asia
Industry-Academic Cooperation Foundation, Kunsan National University;37;Post-2000;Università;KR;Asia
Yangzhou University;37;Post-2000;Università;CN;Asia
Institute Of Electrical Engineering, Chinese Academy Of Sciences;37;Post-2000;Ente pubblico;CN;Asia
Numajiri, Tomohiro;37;Post-2000;Altro;JP;Asia
Cilag Gmbh International;36;Post-2000;Azienda;CH;Europa
Chang'An University;36;Post-2000;Università;CN;Asia
Esteyco S.A.P.;36;Post-2000;Azienda;ES;Europa
Csr Zhuzhou Electric Locomotive Research Institute Co., Ltd.;36;Post-2000;Azienda;CN;Asia
Zhongneng Power-Tech Development Co., Ltd.;36;Post-2000;Azienda;CN;Asia
Airbus Operations Limited;36;Post-2000;Azienda;GB;Europa
Guangdong University Of Technology;36;Post-2000;Università;CN;Asia
Openhydro Ip Limited;36;Post-2000;Azienda;IE;Europa
Xi'An University Of Technology;36;Post-2000;Università;CN;Asia
Hefei University Of Technology;36;Post-2000;Università;CN;Asia
Technip France;35;Post-2000;Azienda;FR;Europa
China Electric Power Research Institute Co., Ltd.;35;Post-2000;Ente pubblico;CN;Asia
Jiangsu Maijing Environmental Protection Technology Co., Ltd.;35;Post-2000;Azienda;CN;Asia
Max Bögl Wind Ag;35;Post-2000;Azienda;DE;Europa
Delta Electronics, Inc.;35;Post-2000;Azienda;TW;Asia
Nanjing Institute Of Technology;35;Post-2000;Università;CN;Asia
Shimizu Corp;35;Post-2000;Azienda;JP;Asia
Saudi Arabian Oil Company;35;Post-2000;Azienda;SA;Asia
Hyundai Motor Company;34;Post-2000;Azienda;KR;Asia
Northeast Dianli University;34;Post-2000;Università;CN;Asia
The United States Of America As Represented By The Secretary Of The Navy;34;Post-2000;Ente pubblico;US;America
Cisco Technology, Inc.;34;Post-2000;Azienda;US;America
Halliburton Energy Services, Inc.;34;Post-2000;Azienda;US;America
Yasugi, Akira;33;Post-2000;Altro;JP;Asia
Deme Offshore Be N.V.;33;Post-2000;Azienda;BE;Europa
Guangdong Mingyang Wind Power Industry Group Co., Ltd.;33;Post-2000;Azienda;CN;Asia
Wakasa, Tsuyoshi;33;Post-2000;Altro;JP;Asia
Xiangtan University;33;Post-2000;Università;CN;Asia
Nsk Ltd.;33;Post-2000;Azienda;JP;Asia
Hunan University;33;Post-2000;Università;CN;Asia
Inner Mongolia Geoho Energy Equipment Co., Ltd.;33;Post-2000;Azienda;CN;Asia
Ebara Corp;33;Post-2000;Azienda;JP;Asia
SONY;33;Post-2000;Azienda;JP;Asia
Nantong University;33;Post-2000;Università;CN;Asia
China Mcc17 Group Co., Ltd.;33;Post-2000;Azienda;CN;Asia
Dongfang Turbine Co., Ltd., Dongfang Electric Corporation;33;Post-2000;Azienda;CN;Asia
Nordex Energy Spain, S.A.U.;33;Post-2000;Azienda;ES;Europa
Beijing Nego Automation Technology Co., Ltd.;32;Post-2000;Azienda;CN;Asia
Herr, Stefan;32;Post-2000;Altro;DE;Europa
Rwe Renewables Gmbh;32;Post-2000;Azienda;DE;Europa
Windfin B.V.;32;Post-2000;Azienda;NL;Europa
Huang, Guo-Zhang;32;Post-2000;Altro;CN;Asia
Schaeffler Kg;32;Post-2000;Azienda;DE;Europa
Thyssenkrupp Rothe Erde Germany Gmbh;32;Post-2000;Azienda;DE;Europa
Sichuan University;32;Post-2000;Università;CN;Asia
Sinoma Wind Power Blade Co., Ltd.;32;Post-2000;Azienda;CN;Asia
Csic Haizhuang Windpower Co., Ltd.;32;Post-2000;Azienda;CN;Asia
Lutron Electronics Co., Inc.;32;Post-2000;Azienda;US;America
Ørsted Wind Power A/S;31;Post-2000;Azienda;DK;Europa
Inventus Holdings, Llc;31;Post-2000;Azienda;US;America
Goodrich Corporation;31;Post-2000;Azienda;US;America
Flodesign Wind Turbine Corp.;31;Post-2000;Azienda;US;America
Deere & Company;31;Post-2000;Azienda;US;America
Presz, Jr., Walter M.;31;Post-2000;Altro;US;America
Beijing Sanli Xinneng Science & Technology Co., Ltd.;31;Post-2000;Azienda;CN;Asia
Eads Deutschland Gmbh;31;Post-2000;Azienda;DE;Europa
Raytheon Company;31;Post-2000;Azienda;US;America
Bayerische Motoren Werke Aktiengesellschaft;31;Post-2000;Azienda;DE;Europa
Safran Aircraft Engines;31;Post-2000;Azienda;FR;Europa
C-Ling Limited;31;Post-2000;Azienda;HK;Asia
The Timken Company;31;Post-2000;Azienda;US;America
Beijing Tanghao Power Engineering Technology Research Co., Ltd.;31;Post-2000;Azienda;CN;Asia
Guangxi University;31;Post-2000;Università;CN;Asia
Ningbo Jiangbei Ruichen Handicraft Design Co., Ltd.;30;Post-2000;Azienda;CN;Asia
Centre National De La Recherche Scientifique;30;Post-2000;Ente pubblico;FR;Europa
Beijing Wanyuan Industry Co., Ltd.;30;Post-2000;Azienda;CN;Asia
